,Return,Risk,Sharpe,SystRisk_var,TotalRisk_var,UnsystRisk_var,beta,capm_ret,alpha,Er
BAND,1.2439362410485997,1.5521558175872443,0.7764273582544884,0.9031012958242225,2.409187682069927,1.5060863862457046,1.8138714664319162,1.3447532104739683,-0.10081696942536866,1.4151314233715264
BAR,0.3088028394399102,1.1065238380258848,0.24400996179315393,0.40082145343777154,1.2243950041195346,0.8235735506817631,0.805046566632379,0.6184183289341485,-0.3096154894942383,0.6496541357194847
BAT,0.7242374883961693,1.1622036800730207,0.5897739786481347,0.9453175756004191,1.3507173939752721,0.40539981837485306,1.8986625144118254,1.4058011641895858,-0.6815636757934165,1.4794692697487644
BCH,0.6239633614832851,1.1945374655835848,0.4898660597450636,0.7453061531011345,1.426919756682854,0.6816136035817195,1.4969412303106846,1.1165694240158384,-0.49260606253255323,1.174650743751893
BEAM,0.8086298161091378,1.800593067185943,0.42754236375699606,0.6512460284976685,3.2421353935980814,2.590889365100413,1.3080222497531977,0.9805513247489466,-0.17192150863980882,1.0313025880393705
BEL,0.6722075621265398,1.6179419826164894,0.3914896633698888,0.8441587764327293,2.6177362591129762,1.7735774826802468,1.6954859048363442,1.2595178412095585,-0.5873102790830187,1.3253026943172084
BETA,-0.7518009586770907,1.2372816197133696,-0.6389822220589056,0.5565997780941352,1.5308658064805394,0.9742660283864042,1.1179260403849476,0.8436856429640369,-1.5954866016411278,0.8870611733309728
BETH,0.5552136363109711,0.7893786871038333,0.6542026593163428,0.589671451034587,0.6231187116537715,0.03344726061918457,1.1843502213392065,0.8915097991822054,-0.3362961628712343,0.9374625877701666
BICO,-0.7305636625613696,1.1775756337563974,-0.6533454331991776,0.6148520770407538,1.386684373216781,0.7718322961760272,1.2349252999385507,0.927922900931202,-1.6584865634925716,0.9758380025688176
BIFI,7.915006562990401,4.563086154365175,1.726070097417688,0.37892707853192026,20.82175525215916,20.44282817362724,0.7610718961267391,0.5867573963988657,7.328249166591535,0.6162869859685831
BLUR,0.3194910867751332,1.3080936068469964,0.2145802756820329,0.6090168617873599,1.7111088842739843,1.1020920224866244,1.2232053184729503,0.9194847355457547,-0.5999936487706214,0.966945101902505
BLZ,1.0138240189648053,1.5064767438808233,0.6472214210576218,0.9529169873183864,2.269472179853768,1.3165551925353816,1.9139258698522679,1.4167904919390661,-0.4029664729742608,1.491050815689334
BNB,1.4068770976234073,1.054991949856469,1.2967654376979212,0.6773498582814935,1.1130080142619545,0.435658155980461,1.360451575487098,1.0182994494271858,0.38857764819622154,1.071084970556085
BNT,0.45037985868202596,1.1254369948401606,0.3657067082111338,0.7962349307855443,1.2666084293548516,0.4703734985693073,1.5992312581172505,1.1902163128310832,-0.7398364541490572,1.2522664856460324
BNX,2.01207615442273,1.6187384857924112,1.219020967093869,0.2777842240125892,2.620314285385508,2.342530061372919,0.5579273112453137,0.4404971305939419,1.5715790238287881,0.46214471027026005
BOME,30.94110312347806,10.807686931049629,2.8592892559367344,1.037913069954603,116.80609679958094,115.76818372962634,2.084639797254638,1.5397012966402952,29.401401826837766,1.620585320773775
BOND,0.060736305093107755,1.6715702308510656,0.013123172863600875,0.45786029451968047,2.7941470366674848,2.3362867421478044,0.9196086061236352,0.700900834470418,-0.6401645293773102,0.736581648388015
BSW,0.2243705034884807,1.677051074099638,0.11065286344252116,0.5445044378279088,2.81250030513875,2.267995867310841,1.0936326497241913,0.8261948603403257,-0.6018243568518451,0.8686278071496243
BTC,0.758781120295652,0.7023175636823887,1.0251503842800824,0.49788604790212704,0.49324996025676615,-0.004636087645360887,1.0,0.758781120295652,0.0,0.797581120295652
